#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RULE_ELITE_RECRUITMENT;§ZElite Recruitment:§! Cost;§ZRecrutement d'élite:§! Coût;§ZElite-Rekrutierung:§! Kosten;;§ZReclutamiento de élite:§! Coste;;;;;;;;;x
RULE_ELITE_COST_PITTANCE;Pittance;Misère;Hungerlohn;;Miseria;;;;;;;;;x
RULE_ELITE_COST_TRIFLE;Trifle;Broutille;Kleinigkeit;;Bagatela;;;;;;;;;x
RULE_ELITE_COST_MODICUM;Modicum;Modique;Mäßig;;Módico;;;;;;;;;x
RULE_ELITE_COST_BOUNTY;Bounty;Largesse;Großzügig;;Generoso;;;;;;;;;x
RULE_ELITE_COST_FORTUNE;Fortune;Fortune;Vermögen;;Fortuna;;;;;;;;;x
RULE_ELITE_COST_DISABLED;Disabled;Désactivé;Deaktiviert;;Desactivado;;;;;;;;;x
RULE_ELITE_COST_PITTANCE_DESC;A token sum. Recruits cost a quarter of the standard.;Une somme symbolique. Les recrues coûtent le quart du coût standard.;Ein symbolischer Betrag. Rekruten kosten ein Viertel des Standards.;;Una suma simbólica. Los reclutas cuestan un cuarto de lo normal.;;;;;;;;;x
RULE_ELITE_COST_TRIFLE_DESC;A modest outlay. Recruits cost half the standard.;Une dépense modeste. Les recrues coûtent la moitié du coût standard.;Eine bescheidene Ausgabe. Rekruten kosten die Hälfte der Standardkosten.;;Un desembolso modesto. Los reclutas cuestan la mitad del coste normal.;;;;;;;;;x
RULE_ELITE_COST_MODICUM_DESC;The default, balanced cost.;Le coût par défaut, équilibré.;Die standardmäßige, ausgewogene Kostenstufe.;;El coste predeterminado y equilibrado.;;;;;;;;;x
RULE_ELITE_COST_BOUNTY_DESC;A generous sum. Recruits cost twice the standard.;Une somme généreuse. Les recrues coûtent le double du coût standard.;Eine großzügige Summe. Rekruten kosten das Doppelte der Standardkosten.;;Una suma generosa. Los reclutas cuestan el doble del coste normal.;;;;;;;;;x
RULE_ELITE_COST_FORTUNE_DESC;A king's ransom. Recruits cost four times the standard.;Un pont d'or. Les recrues coûtent le quadruple du coût standard.;Ein fürstliches Handgeld. Rekruten kosten das Vierfache der Standardkosten.;;Un caudal regio. Los reclutas cuestan el cuádruple del coste normal.;;;;;;;;;x
RULE_ELITE_COST_DISABLED_DESC;Turns off all Elite Recruitment court decisions.;Désactive toutes les décisions de cour du Recrutement d'élite.;Deaktiviert alle Hofentscheidungen der Elite-Rekrutierung.;;Desactiva todas las decisiones cortesanas de Reclutamiento de élite.;;;;;;;;;x
RULE_ELITE_GENDER_GATING;§ZElite Recruitment:§! Gender Gating;§ZRecrutement d'élite:§! Restrictions de genre;§ZElite-Rekrutierung:§! Geschlechterbeschränkung;;§ZReclutamiento de élite:§! Restricciones de género;;;;;;;;;x
RULE_ELITE_GENDER_ADHERE;Adhere;Respecter;Beachten;;Respetar;;;;;;;;;x
RULE_ELITE_GENDER_BYPASS;Bypass;Ignorer;Umgehen;;Ignorar;;;;;;;;;x
RULE_ELITE_GENDER_ADHERE_DESC;Recruit gender follows realm council law and faith ordination rules.;Le genre des recrues suit la loi conciliaire du royaume et les règles d'ordination.;Das Geschlecht der Rekruten richtet sich nach dem Ratsrecht des Reiches und den Ordinationsregeln des Glaubens.;;El género de los reclutas sigue la ley del consejo del reino y las reglas de ordenación de la fe.;;;;;;;;;x
RULE_ELITE_GENDER_BYPASS_DESC;Every role is open to both genders, regardless of council law and faith ordination rules.;Chaque rôle est ouvert aux deux genres, indépendamment de la loi conciliaire et des règles d'ordination.;Jede Ratsposition steht beiden Geschlechtern offen, unabhängig von Ratsrecht und Ordinationsregeln.;;Cada rol está abierto a ambos géneros, independientemente de la ley del consejo y las reglas de ordenación.;;;;;;;;;x
